<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIPO.US,D,20221220,000000,7.02,7.72,4.4,4.71,493700,0
LIPO.US,D,20221221,000000,5.6,5.6,3.52,3.99,238551,0
LIPO.US,D,20221222,000000,3.6,4.5,3.1588,4.5,81947,0
LIPO.US,D,20221223,000000,4.05,4.86,4.01,4.0101,145596,0
LIPO.US,D,20221227,000000,4.05,4.2,3.2,3.66,96237,0
LIPO.US,D,20221228,000000,3.865,3.865,3.25,3.37,115774,0
LIPO.US,D,20221229,000000,3.5,3.8,2.9,3.15,68421,0
LIPO.US,D,20221230,000000,3.0489,3.19,3,3.13,19070,0
LIPO.US,D,20230103,000000,3.38,3.38,2.87,3.2,64571,0
LIPO.US,D,20230104,000000,3.1,3.2799,3.02,3.2,24758,0
LIPO.US,D,20230105,000000,3.1176,3.21,3,3,11568,0
LIPO.US,D,20230106,000000,3,3.2,3,3.09,3061,0
LIPO.US,D,20230109,000000,3.09,3.34,3.05,3.15,11293,0
LIPO.US,D,20230110,000000,3.1953,3.3,3.02,3.11,60843,0
LIPO.US,D,20230111,000000,5.8,6.1,3.39,3.67,25000150,0
LIPO.US,D,20230112,000000,3.29,3.41,3.06,3.21,723280,0
LIPO.US,D,20230113,000000,3.06,3.3,3.06,3.185,291028,0
LIPO.US,D,20230117,000000,3.16,3.39,3.08,3.11,256357,0
LIPO.US,D,20230118,000000,3.06,3.14,2.599,2.8694,237830,0
LIPO.US,D,20230119,000000,2.87,2.89,2.61,2.65,72512,0
LIPO.US,D,20230120,000000,2.6999,2.7,2.44,2.51,76214,0
LIPO.US,D,20230123,000000,2.46,2.5788,2.31,2.45,77376,0
LIPO.US,D,20230124,000000,2.48,2.6484,2.35,2.5,74889,0
LIPO.US,D,20230125,000000,2.47,2.59,2.47,2.5,32699,0
LIPO.US,D,20230126,000000,2.55,2.585,2.4274,2.44,39602,0
LIPO.US,D,20230127,000000,2.37,2.525,2.311,2.41,51918,0
LIPO.US,D,20230130,000000,2.38,2.5,2.38,2.495,46962,0
LIPO.US,D,20230131,000000,2.507,2.52,2.45,2.475,16773,0
LIPO.US,D,20230201,000000,2.4,2.56,2.3846,2.48,46290,0
LIPO.US,D,20230202,000000,2.44,2.8199,2.4101,2.74,219596,0
LIPO.US,D,20230203,000000,2.67,2.8199,2.6,2.7102,112937,0
LIPO.US,D,20230206,000000,3.04,4.02,2.61,2.95,2717811,0
LIPO.US,D,20230207,000000,2.86,3.1,2.65,3.01,242056,0
LIPO.US,D,20230208,000000,2.8,2.9997,2.79,2.83,26981,0
LIPO.US,D,20230209,000000,2.78,2.86,2.55,2.62,79189,0
LIPO.US,D,20230210,000000,2.56,2.71,2.47,2.61,85265,0
LIPO.US,D,20230213,000000,2.51,2.62,2.48,2.56,60754,0
LIPO.US,D,20230214,000000,2.5262,2.59,2.34,2.44,36883,0
LIPO.US,D,20230215,000000,2.4401,2.49,2.31,2.45,31609,0
LIPO.US,D,20230216,000000,2.47,2.55,2.44,2.44,12260,0
LIPO.US,D,20230217,000000,2.39,2.4891,2.36,2.36,28477,0
LIPO.US,D,20230221,000000,2.41,2.45,2.12,2.13,57637,0
LIPO.US,D,20230222,000000,2.25,2.36,2.02,2.14,33718,0
LIPO.US,D,20230223,000000,2.1,2.2899,2.025,2.19,37898,0
LIPO.US,D,20230224,000000,2.1599,2.16,2.02,2.1101,27113,0
LIPO.US,D,20230227,000000,2.14,2.2039,2.06,2.12,28588,0
LIPO.US,D,20230228,000000,2.12,2.1472,2.05,2.07,36220,0
LIPO.US,D,20230301,000000,2.02,2.1662,2.02,2.1662,4773,0
LIPO.US,D,20230302,000000,2.17,2.2642,2.08,2.08,10273,0
LIPO.US,D,20230303,000000,2.13,2.1515,1.72,1.81,177992,0
LIPO.US,D,20230306,000000,1.76,1.97,1.76,1.84,25228,0
LIPO.US,D,20230307,000000,1.8292,2.09,1.8,1.98,14096,0
LIPO.US,D,20230308,000000,1.95,1.97,1.85,1.88,7112,0
LIPO.US,D,20230309,000000,1.89,1.9296,1.82,1.82,14017,0
LIPO.US,D,20230310,000000,1.91,2.18,1.8101,1.95,20842,0
LIPO.US,D,20230313,000000,1.86,1.985,1.81,1.865,14192,0
LIPO.US,D,20230314,000000,1.8513,1.96,1.83,1.89,19831,0
LIPO.US,D,20230315,000000,1.915,1.92,1.76,1.83,54313,0
LIPO.US,D,20230316,000000,2.77,2.9299,2.33,2.49,24157152,0
LIPO.US,D,20230317,000000,2.34,2.73,2,2.36,1788319,0
LIPO.US,D,20230320,000000,2.28,2.63,2.15,2.55,421778,0
LIPO.US,D,20230321,000000,2.54,2.69,2.4075,2.62,168965,0
LIPO.US,D,20230322,000000,2.57,2.63,2.1301,2.25,144029,0
LIPO.US,D,20230323,000000,2.21,2.35,2.05,2.21,100559,0
