<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VMCA.US,D,20220428,000000,10.02,10.05,10.02,10.05,321953,0
VMCA.US,D,20220503,000000,10.03,10.05,10.03,10.05,251006,0
VMCA.US,D,20220509,000000,10.03,10.03,10.02,10.02,56162,0
VMCA.US,D,20220510,000000,10.0464,10.0496,10.0464,10.0496,2013,0
VMCA.US,D,20220511,000000,10.02,10.02,10,10,10725,0
VMCA.US,D,20220513,000000,9.99,9.99,9.98,9.98,217280,0
VMCA.US,D,20220517,000000,9.9927,10.0091,9.9801,9.9808,2008,0
VMCA.US,D,20220524,000000,10.06,10.1,9.97,9.97,32653,0
VMCA.US,D,20220525,000000,10.01,10.01,9.97,9.99,37100,0
VMCA.US,D,20220601,000000,10.06,10.06,9.99,10.06,1885,0
VMCA.US,D,20220606,000000,9.99,9.99,9.99,9.99,240,0
VMCA.US,D,20220607,000000,10.05,10.05,10.02,10.05,5429,0
VMCA.US,D,20220608,000000,10.04,10.04,10,10,30110,0
VMCA.US,D,20220609,000000,10,10.05,10,10.05,6000,0
VMCA.US,D,20220613,000000,10.08,10.08,10.03,10.03,20321,0
VMCA.US,D,20220614,000000,10.03,10.0302,10.03,10.03,25828,0
VMCA.US,D,20220616,000000,10.5,10.5,10.03,10.06,1401,0
VMCA.US,D,20220617,000000,10.03,10.03,10.03,10.03,22700,0
VMCA.US,D,20220621,000000,10.03,10.03,10.03,10.03,5000,0
VMCA.US,D,20220624,000000,10.06,10.06,10.06,10.06,1700,0
VMCA.US,D,20220627,000000,10.06,10.06,10.06,10.06,202,0
VMCA.US,D,20220628,000000,10.1,10.1,10.1,10.1,168,0
VMCA.US,D,20220629,000000,10,10.01,10,10.01,605,0
VMCA.US,D,20220630,000000,10.01,10.01,10.01,10.01,129,0
VMCA.US,D,20220701,000000,10.01,10.01,10.01,10.01,400,0
VMCA.US,D,20220705,000000,10.025,10.03,10.025,10.03,267228,0
VMCA.US,D,20220706,000000,10.0219,10.0219,10.0219,10.0219,1295,0
VMCA.US,D,20220707,000000,10.01,10.01,10.01,10.01,26100,0
VMCA.US,D,20220711,000000,10.02,10.02,10.02,10.02,28658,0
VMCA.US,D,20220712,000000,10.02,10.02,10.02,10.02,39523,0
VMCA.US,D,20220714,000000,10.02,10.02,10.02,10.02,280,0
VMCA.US,D,20220718,000000,10.02,10.02,10.02,10.02,300,0
VMCA.US,D,20220725,000000,10.1,10.1,10.0375,10.1,20005,0
VMCA.US,D,20220726,000000,10.6,10.6,10.05,10.07,469154,0
VMCA.US,D,20220728,000000,10.11,10.11,10.11,10.11,305,0
VMCA.US,D,20220801,000000,10.12,10.12,10.12,10.12,301,0
VMCA.US,D,20220803,000000,10.06,10.08,10.06,10.08,8680,0
VMCA.US,D,20220812,000000,10.07,10.07,10.07,10.07,49990,0
VMCA.US,D,20220819,000000,10.1,10.1,10.09,10.09,10300,0
VMCA.US,D,20220823,000000,10.1,10.11,10.1,10.11,111075,0
VMCA.US,D,20220830,000000,10.07,10.07,10.07,10.07,160,0
VMCA.US,D,20220901,000000,10.08,10.62,10.08,10.62,845236,0
VMCA.US,D,20220902,000000,10.105,10.13,10.105,10.13,7259,0
VMCA.US,D,20220906,000000,10.09,10.13,10.09,10.13,48764,0
VMCA.US,D,20220907,000000,10.14,10.14,10.14,10.14,596,0
VMCA.US,D,20220908,000000,10.09,10.12,10.09,10.11,100826,0
VMCA.US,D,20220909,000000,10.13,10.13,10.13,10.13,110,0
VMCA.US,D,20220912,000000,10.14,10.14,10.14,10.14,10500,0
VMCA.US,D,20220914,000000,10.14,10.16,10.14,10.16,21757,0
VMCA.US,D,20220915,000000,10.15,10.15,10.135,10.15,98393,0
VMCA.US,D,20220921,000000,10.16,10.16,10.16,10.16,6387,0
VMCA.US,D,20220922,000000,10.65,10.65,10.15,10.15,5115,0
VMCA.US,D,20220923,000000,10.2,10.2,10.15,10.18,17758,0
VMCA.US,D,20220926,000000,10.65,10.65,10.12,10.16,8395,0
VMCA.US,D,20220927,000000,10.5,10.65,10.155,10.17,205238,0
